reference,name,description,brand,category,reference_oem,specs,vehicle_brand,vehicle_model,year_from,year_to,engine,fuel,body,notes,cross_reference_code,cross_reference_brand,cross_reference_source,similar_reference,similar_relation_type
BOS-0001,Amortecedor Dianteiro,Amortecedor Dianteiro para Ford Fiesta 1.0. Intervalo 2011-2017.,BOSCH,Suspensão e Direção,FORFI661913,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Ford,Fiesta,2011,2017,1.0,Flex,Hatch,Aplicação padrão.,FOR198702,FIAT,INTERNO,COF-0002,EQUIVALENTE
COF-0002,Filtro de Óleo,Filtro de Óleo para Honda Civic 1.8. Intervalo 2013-2019.,COFAP,Filtros,HONCI538485,"{""rosca"": ""M18x1.5""}",Honda,Civic,2013,2019,1.8,Flex,Sedan,Aplicação padrão.,HON173248,FORD,OEM,BOS-0001,EQUIVALENTE
MAN-0003,Correia Dentada,Correia Dentada para Toyota Corolla 1.8. Intervalo 2013-2022.,MANN,Motor,TOYCO164867,"{""passo"": ""HTD"", ""dentes"": 118}",Toyota,Corolla,2013,2022,1.8,Flex,Sedan,Aplicação padrão.,TOY713984,ACDELCO,OEM,ACM-0004,EQUIVALENTE
ACM-0004,Disco de Freio,Disco de Freio para Volkswagen Gol 1.0. Intervalo 2013-2016.,ACME,Freios,VOLGO251262,"{""diametro_mm"": 274, ""ventilado"": false}",Volkswagen,Gol,2013,2016,1.0,Flex,Hatch,Aplicação padrão.,VOL698646,VW,INTERNO,MAN-0003,EQUIVALENTE
WEG-0005,Pastilha de Freio,Pastilha de Freio para Volkswagen Gol 1.0. Intervalo 2014-2014.,WEGA,Freios,VOLGO674351,"{""material"": ""ceramica"", ""espessura_mm"": 14}",Volkswagen,Gol,2014,2014,1.0,Flex,Hatch,Aplicação padrão.,VOL691783,TOYOTA,INTERNO,KYB-0006,EQUIVALENTE
KYB-0006,Disco de Freio,Disco de Freio para Fiat Palio 1.6. Intervalo 2013-2016.,KYB,Freios,FIAPA714006,"{""diametro_mm"": 299, ""ventilado"": false}",Fiat,Palio,2013,2016,1.6,Flex,Hatch,Aplicação padrão.,FIA479146,VW,OEM,WEG-0005,EQUIVALENTE
SKF-0007,Pastilha de Freio,Pastilha de Freio para Toyota Corolla 2.0. Intervalo 2018-2021.,SKF,Freios,TOYCO460160,"{""material"": ""ceramica"", ""espessura_mm"": 17}",Toyota,Corolla,2018,2021,2.0,Flex,Sedan,Aplicação padrão.,TOY401924,MOPAR,OEM,COF-0008,EQUIVALENTE
COF-0008,Filtro de Ar,Filtro de Ar para Ford Fiesta 1.0. Intervalo 2013-2014.,COFAP,Filtros,FORFI612714,"{""altura"": 43, ""diametro"": 102}",Ford,Fiesta,2013,2014,1.0,Flex,Hatch,Aplicação padrão.,FOR800675,GM,INTERNO,SKF-0007,EQUIVALENTE
FRA-0009,Filtro de Cabine,Filtro de Cabine para Chevrolet Onix 1.4. Intervalo 2017-2018.,FRAM,Filtros,CHEON708064,"{""altura"": 55, ""diametro"": 129}",Chevrolet,Onix,2017,2018,1.4,Flex,Hatch,Aplicação padrão.,CHE172103,GM,AFTERMARKET,WEG-0010,EQUIVALENTE
WEG-0010,Bomba de Combustível,Bomba de Combustível para Toyota Corolla 2.0. Intervalo 2020-2022.,WEGA,Alimentação,TOYCO814328,"{""pressao_bar"": 3.5}",Toyota,Corolla,2020,2022,2.0,Flex,Sedan,Aplicação padrão.,TOY961850,MOTORCRAFT,AFTERMARKET,FRA-0009,EQUIVALENTE
FRA-0011,Barra de Direção,Barra de Direção para Toyota Corolla 2.0. Intervalo 2015-2017.,FRAM,Suspensão e Direção,TOYCO740595,"{""lado"": ""direito""}",Toyota,Corolla,2015,2017,2.0,Flex,Sedan,Aplicação padrão.,TOY617674,TOYOTA,OEM,BOS-0012,EQUIVALENTE
BOS-0012,Vela de Ignição,Vela de Ignição para Fiat Palio 1.0. Intervalo 2014-2017.,BOSCH,Ignição,FIAPA620625,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Fiat,Palio,2014,2017,1.0,Flex,Hatch,Aplicação padrão.,FIA184495,HONDA,AFTERMARKET,FRA-0011,EQUIVALENTE
COF-0013,Barra de Direção,Barra de Direção para Chevrolet Onix 1.0. Intervalo 2016-2018.,COFAP,Suspensão e Direção,CHEON840710,"{""lado"": ""esquerdo""}",Chevrolet,Onix,2016,2018,1.0,Flex,Hatch,Aplicação padrão.,CHE476198,ACDELCO,OEM,WEG-0014,EQUIVALENTE
WEG-0014,Pastilha de Freio,Pastilha de Freio para Honda Civic 1.8. Intervalo 2015-2020.,WEGA,Freios,HONCI344670,"{""material"": ""ceramica"", ""espessura_mm"": 14}",Honda,Civic,2015,2020,1.8,Flex,Sedan,Aplicação padrão.,HON608520,MOPAR,OEM,COF-0013,EQUIVALENTE
NGK-0015,Vela de Ignição,Vela de Ignição para Toyota Corolla 1.8. Intervalo 2016-2020.,NGK,Ignição,TOYCO487190,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Toyota,Corolla,2016,2020,1.8,Flex,Sedan,Aplicação padrão.,TOY739434,MOPAR,AFTERMARKET,COF-0016,EQUIVALENTE
COF-0016,Pastilha de Freio,Pastilha de Freio para Volkswagen Gol 1.0. Intervalo 2016-2018.,COFAP,Freios,VOLGO936630,"{""material"": ""ceramica"", ""espessura_mm"": 18}",Volkswagen,Gol,2016,2018,1.0,Flex,Hatch,Aplicação padrão.,VOL511439,ACDELCO,AFTERMARKET,NGK-0015,EQUIVALENTE
WEG-0017,Barra de Direção,Barra de Direção para Ford Fiesta 1.6. Intervalo 2011-2012.,WEGA,Suspensão e Direção,FORFI170619,"{""lado"": ""direito""}",Ford,Fiesta,2011,2012,1.6,Flex,Hatch,Aplicação padrão.,FOR562030,HONDA,OEM,SAB-0018,EQUIVALENTE
SAB-0018,Amortecedor Dianteiro,Amortecedor Dianteiro para Toyota Corolla 1.8. Intervalo 2010-2019.,SABÓ,Suspensão e Direção,TOYCO258612,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Toyota,Corolla,2010,2019,1.8,Flex,Sedan,Aplicação padrão.,TOY662685,GM,AFTERMARKET,WEG-0017,EQUIVALENTE
ACM-0019,Filtro de Cabine,Filtro de Cabine para Toyota Corolla 1.8. Intervalo 2019-2022.,ACME,Filtros,TOYCO255766,"{""altura"": 50, ""diametro"": 116}",Toyota,Corolla,2019,2022,1.8,Flex,Sedan,Aplicação padrão.,TOY464264,MOPAR,AFTERMARKET,WEG-0020,EQUIVALENTE
WEG-0020,Bomba de Combustível,Bomba de Combustível para Toyota Corolla 2.0. Intervalo 2017-2020.,WEGA,Alimentação,TOYCO607337,"{""pressao_bar"": 3.5}",Toyota,Corolla,2017,2020,2.0,Flex,Sedan,Aplicação padrão.,TOY427000,GM,OEM,ACM-0019,EQUIVALENTE
FRA-0021,Filtro de Ar,Filtro de Ar para Fiat Palio 1.6. Intervalo 2015-2017.,FRAM,Filtros,FIAPA269280,"{""altura"": 46, ""diametro"": 101}",Fiat,Palio,2015,2017,1.6,Flex,Hatch,Aplicação padrão.,FIA315183,VAG,AFTERMARKET,COF-0022,EQUIVALENTE
COF-0022,Pastilha de Freio,Pastilha de Freio para Toyota Corolla 2.0. Intervalo 2020-2020.,COFAP,Freios,TOYCO830015,"{""material"": ""ceramica"", ""espessura_mm"": 16}",Toyota,Corolla,2020,2020,2.0,Flex,Sedan,Aplicação padrão.,TOY643578,FIAT,OEM,FRA-0021,EQUIVALENTE
SKF-0023,Amortecedor Dianteiro,Amortecedor Dianteiro para Volkswagen Gol 1.6. Intervalo 2012-2016.,SKF,Suspensão e Direção,VOLGO950931,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Volkswagen,Gol,2012,2016,1.6,Flex,Hatch,Aplicação padrão.,VOL926696,FORD,OEM,SKF-0024,EQUIVALENTE
SKF-0024,Barra de Direção,Barra de Direção para Honda Civic 2.0. Intervalo 2017-2017.,SKF,Suspensão e Direção,HONCI129294,"{""lado"": ""esquerdo""}",Honda,Civic,2017,2017,2.0,Flex,Sedan,Aplicação padrão.,HON595179,VW,OEM,SKF-0023,EQUIVALENTE
FRA-0025,Filtro de Cabine,Filtro de Cabine para Ford Fiesta 1.6. Intervalo 2013-2013.,FRAM,Filtros,FORFI331171,"{""altura"": 33, ""diametro"": 114}",Ford,Fiesta,2013,2013,1.6,Flex,Hatch,Aplicação padrão.,FOR592914,FORD,AFTERMARKET,KYB-0026,EQUIVALENTE
KYB-0026,Disco de Freio,Disco de Freio para Volkswagen Gol 1.0. Intervalo 2016-2018.,KYB,Freios,VOLGO460717,"{""diametro_mm"": 291, ""ventilado"": true}",Volkswagen,Gol,2016,2018,1.0,Flex,Hatch,Aplicação padrão.,VOL188896,GM,AFTERMARKET,FRA-0025,EQUIVALENTE
KYB-0027,Disco de Freio,Disco de Freio para Honda Civic 2.0. Intervalo 2017-2017.,KYB,Freios,HONCI939724,"{""diametro_mm"": 300, ""ventilado"": true}",Honda,Civic,2017,2017,2.0,Flex,Sedan,Aplicação padrão.,HON856888,ACDELCO,AFTERMARKET,WEG-0028,EQUIVALENTE
WEG-0028,Barra de Direção,Barra de Direção para Fiat Palio 1.0. Intervalo 2010-2012.,WEGA,Suspensão e Direção,FIAPA128887,"{""lado"": ""direito""}",Fiat,Palio,2010,2012,1.0,Flex,Hatch,Aplicação padrão.,FIA719511,MOTORCRAFT,INTERNO,KYB-0027,EQUIVALENTE
SAB-0029,Pastilha de Freio,Pastilha de Freio para Volkswagen Gol 1.6. Intervalo 2014-2015.,SABÓ,Freios,VOLGO675311,"{""material"": ""ceramica"", ""espessura_mm"": 18}",Volkswagen,Gol,2014,2015,1.6,Flex,Hatch,Aplicação padrão.,VOL237346,TOYOTA,OEM,COF-0030,EQUIVALENTE
COF-0030,Filtro de Ar,Filtro de Ar para Fiat Palio 1.0. Intervalo 2014-2015.,COFAP,Filtros,FIAPA966286,"{""altura"": 57, ""diametro"": 113}",Fiat,Palio,2014,2015,1.0,Flex,Hatch,Aplicação padrão.,FIA129353,VW,OEM,SAB-0029,EQUIVALENTE
COF-0031,Vela de Ignição,Vela de Ignição para Honda Civic 2.0. Intervalo 2016-2020.,COFAP,Ignição,HONCI539366,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Honda,Civic,2016,2020,2.0,Flex,Sedan,Aplicação padrão.,HON974716,HONDA,OEM,KYB-0032,EQUIVALENTE
KYB-0032,Amortecedor Dianteiro,Amortecedor Dianteiro para Fiat Palio 1.6. Intervalo 2016-2016.,KYB,Suspensão e Direção,FIAPA657658,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Fiat,Palio,2016,2016,1.6,Flex,Hatch,Aplicação padrão.,FIA259211,VAG,INTERNO,COF-0031,EQUIVALENTE
KYB-0033,Filtro de Óleo,Filtro de Óleo para Honda Civic 1.8. Intervalo 2014-2016.,KYB,Filtros,HONCI248435,"{""rosca"": ""M18x1.5""}",Honda,Civic,2014,2016,1.8,Flex,Sedan,Aplicação padrão.,HON596493,MOPAR,INTERNO,COF-0034,EQUIVALENTE
COF-0034,Filtro de Ar,Filtro de Ar para Toyota Corolla 2.0. Intervalo 2020-2022.,COFAP,Filtros,TOYCO656506,"{""altura"": 47, ""diametro"": 130}",Toyota,Corolla,2020,2022,2.0,Flex,Sedan,Aplicação padrão.,TOY922369,GM,INTERNO,KYB-0033,EQUIVALENTE
SKF-0035,Filtro de Óleo,Filtro de Óleo para Honda Civic 2.0. Intervalo 2012-2013.,SKF,Filtros,HONCI632376,"{""rosca"": ""M18x1.5""}",Honda,Civic,2012,2013,2.0,Flex,Sedan,Aplicação padrão.,HON574140,VAG,OEM,KYB-0036,EQUIVALENTE
KYB-0036,Filtro de Ar,Filtro de Ar para Chevrolet Onix 1.0. Intervalo 2018-2019.,KYB,Filtros,CHEON574318,"{""altura"": 46, ""diametro"": 134}",Chevrolet,Onix,2018,2019,1.0,Flex,Hatch,Aplicação padrão.,CHE946580,MOTORCRAFT,INTERNO,SKF-0035,EQUIVALENTE
COF-0037,Disco de Freio,Disco de Freio para Chevrolet Onix 1.0. Intervalo 2016-2017.,COFAP,Freios,CHEON536875,"{""diametro_mm"": 247, ""ventilado"": false}",Chevrolet,Onix,2016,2017,1.0,Flex,Hatch,Aplicação padrão.,CHE563594,FIAT,OEM,MAN-0038,EQUIVALENTE
MAN-0038,Disco de Freio,Disco de Freio para Toyota Corolla 1.8. Intervalo 2020-2021.,MANN,Freios,TOYCO922016,"{""diametro_mm"": 247, ""ventilado"": true}",Toyota,Corolla,2020,2021,1.8,Flex,Sedan,Aplicação padrão.,TOY914672,HONDA,INTERNO,COF-0037,EQUIVALENTE
BOS-0039,Amortecedor Dianteiro,Amortecedor Dianteiro para Chevrolet Onix 1.0. Intervalo 2016-2017.,BOSCH,Suspensão e Direção,CHEON882952,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Chevrolet,Onix,2016,2017,1.0,Flex,Hatch,Aplicação padrão.,CHE198697,ACDELCO,AFTERMARKET,SKF-0040,EQUIVALENTE
SKF-0040,Pastilha de Freio,Pastilha de Freio para Honda Civic 2.0. Intervalo 2020-2021.,SKF,Freios,HONCI455589,"{""material"": ""ceramica"", ""espessura_mm"": 17}",Honda,Civic,2020,2021,2.0,Flex,Sedan,Aplicação padrão.,HON305253,FIAT,AFTERMARKET,BOS-0039,EQUIVALENTE
FRA-0041,Filtro de Ar,Filtro de Ar para Toyota Corolla 2.0. Intervalo 2018-2021.,FRAM,Filtros,TOYCO561853,"{""altura"": 52, ""diametro"": 101}",Toyota,Corolla,2018,2021,2.0,Flex,Sedan,Aplicação padrão.,TOY503014,FIAT,INTERNO,NGK-0042,EQUIVALENTE
NGK-0042,Filtro de Cabine,Filtro de Cabine para Volkswagen Gol 1.0. Intervalo 2010-2013.,NGK,Filtros,VOLGO209869,"{""altura"": 32, ""diametro"": 116}",Volkswagen,Gol,2010,2013,1.0,Flex,Hatch,Aplicação padrão.,VOL385129,TOYOTA,OEM,FRA-0041,EQUIVALENTE
BOS-0043,Vela de Ignição,Vela de Ignição para Ford Fiesta 1.6. Intervalo 2014-2015.,BOSCH,Ignição,FORFI662664,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Ford,Fiesta,2014,2015,1.6,Flex,Hatch,Aplicação padrão.,FOR639788,MOPAR,AFTERMARKET,WEG-0044,EQUIVALENTE
WEG-0044,Amortecedor Dianteiro,Amortecedor Dianteiro para Chevrolet Onix 1.0. Intervalo 2018-2018.,WEGA,Suspensão e Direção,CHEON545977,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Chevrolet,Onix,2018,2018,1.0,Flex,Hatch,Aplicação padrão.,CHE175931,VW,OEM,BOS-0043,EQUIVALENTE
NGK-0045,Filtro de Ar,Filtro de Ar para Toyota Corolla 1.8. Intervalo 2011-2015.,NGK,Filtros,TOYCO227588,"{""altura"": 44, ""diametro"": 100}",Toyota,Corolla,2011,2015,1.8,Flex,Sedan,Aplicação padrão.,TOY455626,VAG,AFTERMARKET,SAB-0046,EQUIVALENTE
SAB-0046,Vela de Ignição,Vela de Ignição para Honda Civic 1.8. Intervalo 2020-2020.,SABÓ,Ignição,HONCI214768,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Honda,Civic,2020,2020,1.8,Flex,Sedan,Aplicação padrão.,HON269291,VW,OEM,NGK-0045,EQUIVALENTE
SKF-0047,Pastilha de Freio,Pastilha de Freio para Chevrolet Onix 1.4. Intervalo 2017-2017.,SKF,Freios,CHEON404045,"{""material"": ""ceramica"", ""espessura_mm"": 17}",Chevrolet,Onix,2017,2017,1.4,Flex,Hatch,Aplicação padrão.,CHE624380,HONDA,AFTERMARKET,ACM-0048,EQUIVALENTE
ACM-0048,Amortecedor Dianteiro,Amortecedor Dianteiro para Chevrolet Onix 1.0. Intervalo 2013-2013.,ACME,Suspensão e Direção,CHEON868690,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Chevrolet,Onix,2013,2013,1.0,Flex,Hatch,Aplicação padrão.,CHE630216,VAG,OEM,SKF-0047,EQUIVALENTE
KYB-0049,Correia Dentada,Correia Dentada para Honda Civic 2.0. Intervalo 2013-2019.,KYB,Motor,HONCI788400,"{""passo"": ""HTD"", ""dentes"": 115}",Honda,Civic,2013,2019,2.0,Flex,Sedan,Aplicação padrão.,HON672424,ACDELCO,INTERNO,SKF-0050,EQUIVALENTE
SKF-0050,Vela de Ignição,Vela de Ignição para Honda Civic 2.0. Intervalo 2015-2021.,SKF,Ignição,HONCI841055,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Honda,Civic,2015,2021,2.0,Flex,Sedan,Aplicação padrão.,HON864248,HONDA,AFTERMARKET,KYB-0049,EQUIVALENTE
ACM-0051,Amortecedor Dianteiro,Amortecedor Dianteiro para Honda Civic 1.8. Intervalo 2013-2017.,ACME,Suspensão e Direção,HONCI551664,"{""pressurizado"": true, ""lado"": ""dianteiro""}",Honda,Civic,2013,2017,1.8,Flex,Sedan,Aplicação padrão.,HON271176,TOYOTA,OEM,COF-0052,EQUIVALENTE
COF-0052,Barra de Direção,Barra de Direção para Fiat Palio 1.6. Intervalo 2011-2016.,COFAP,Suspensão e Direção,FIAPA407294,"{""lado"": ""direito""}",Fiat,Palio,2011,2016,1.6,Flex,Hatch,Aplicação padrão.,FIA581771,HONDA,OEM,ACM-0051,EQUIVALENTE
KYB-0053,Vela de Ignição,Vela de Ignição para Toyota Corolla 2.0. Intervalo 2015-2020.,KYB,Ignição,TOYCO673648,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Toyota,Corolla,2015,2020,2.0,Flex,Sedan,Aplicação padrão.,TOY439249,FORD,OEM,SKF-0054,EQUIVALENTE
SKF-0054,Vela de Ignição,Vela de Ignição para Chevrolet Onix 1.0. Intervalo 2013-2015.,SKF,Ignição,CHEON500164,"{""gap_mm"": 0.9, ""rosca"": ""M14""}",Chevrolet,Onix,2013,2015,1.0,Flex,Hatch,Aplicação padrão.,CHE187965,MOTORCRAFT,AFTERMARKET,KYB-0053,EQUIVALENTE
SKF-0055,Correia Dentada,Correia Dentada para Honda Civic 1.8. Intervalo 2013-2017.,SKF,Motor,HONCI956733,"{""passo"": ""HTD"", ""dentes"": 102}",Honda,Civic,2013,2017,1.8,Flex,Sedan,Aplicação padrão.,HON250853,ACDELCO,INTERNO,MAN-0056,EQUIVALENTE
MAN-0056,Filtro de Óleo,Filtro de Óleo para Toyota Corolla 2.0. Intervalo 2014-2017.,MANN,Filtros,TOYCO188586,"{""rosca"": ""M18x1.5""}",Toyota,Corolla,2014,2017,2.0,Flex,Sedan,Aplicação padrão.,TOY714028,VAG,OEM,SKF-0055,EQUIVALENTE
MAN-0057,Filtro de Cabine,Filtro de Cabine para Chevrolet Onix 1.4. Intervalo 2014-2016.,MANN,Filtros,CHEON859332,"{""altura"": 49, ""diametro"": 141}",Chevrolet,Onix,2014,2016,1.4,Flex,Hatch,Aplicação padrão.,CHE251783,TOYOTA,INTERNO,MAN-0058,EQUIVALENTE
MAN-0058,Correia Dentada,Correia Dentada para Fiat Palio 1.0. Intervalo 2016-2016.,MANN,Motor,FIAPA966552,"{""passo"": ""HTD"", ""dentes"": 121}",Fiat,Palio,2016,2016,1.0,Flex,Hatch,Aplicação padrão.,FIA712432,FORD,OEM,MAN-0057,EQUIVALENTE
ACM-0059,Filtro de Óleo,Filtro de Óleo para Honda Civic 2.0. Intervalo 2013-2019.,ACME,Filtros,HONCI976422,"{""rosca"": ""M18x1.5""}",Honda,Civic,2013,2019,2.0,Flex,Sedan,Aplicação padrão.,HON573312,VAG,OEM,COF-0060,EQUIVALENTE
COF-0060,Filtro de Óleo,Filtro de Óleo para Fiat Palio 1.0. Intervalo 2015-2016.,COFAP,Filtros,FIAPA103475,"{""rosca"": ""M18x1.5""}",Fiat,Palio,2015,2016,1.0,Flex,Hatch,Aplicação padrão.,FIA579145,GM,INTERNO,ACM-0059,EQUIVALENTE
